ItemID,Status,ItemName,HELPER COLUMN
HI-000266,Active,Clear Plastic Foot Baths for RSQ,
HI-000267,Active,Stainless Steel Jugs,
HI-000268,Active,Stainless Steel Bucket,
HI-000269,Active,Glass Tee Light Candle Holder Sml,
HI-000270,Active,Glass Tee Light Candle Holder Medium,
HI-000271,Active,Challice Stainless Steel,
HI-000272,Active,Stainless Steel MUD Mixing Bowl for Buddha,
HI-000274,Active,Bell,
HI-000275,Active,Blue Staff Dressed with Feathers & Horse Hair,
HI-000276,Active,Brass Jug Large,
HI-000278,Active,Conch Shell,
HI-000279,Active,Crystal Singing Bowl with Silicone Rub,
HI-000280,Active,Dagger,
HI-000282,Active,Golden Lantern,
HI-000283,Active,Kookaburra Feathers,
HI-000284,Active,Corroboree Sticks,
HI-000285,Active,Large Rock,
HI-000286,Active,Mini Staff,
HI-000288,Active,Posie of White Flowers,
HI-000291,Active,Oracle Participant Crystal Ball Sml,
HI-000292,Active,Sml Volcanic Rock,
HI-000293,Active,Sword Plastic,
HI-000294,Active,Wings Onyx Wood,
HI-000295,Active,Wooden Chest,
HI-000297,Active,Sml Tissues Boxes Box of 100,
HI-000298,Active,Laundry Bag,
HI-000299,Active,Face Washer,
HI-000300,Active,Cleaning Supplies,
HI-000302,Active,Baby Wipes 80 Pk Aldi,
HI-000304,Active,Detol Hand Sanitizer,
HI-000305,Active,Eucalytus Spray Cans,
HI-000306,Active,Eucalytus Water Soluble 500ml,
HI-000307,Active,Febreze,
HI-000308,Active,Mortein Insect Spray,
HI-000309,Active,Mozzie Coils Tins of,
HI-000312,Active,Paper Towel Roll,
HI-000313,Active,Menstruation Pads Regular PKTS of 14 Regular Ultra Thin Wings Libra Brand,
HI-000314,Active,Menstruation Pads Ultra Thins Pk of 14 Regular Ultra Thin Wings Libra Brand,
HI-000315,Active,Participant Bathing Kits,
HI-000316,Active,Sarongs Coloured,
HI-000317,Active,Sarongs White,
HI-000318,Active,Sarongs Tampons Pads Box,
HI-000319,Active,Spare Tooth Brushes,
HI-000320,Active,Tampons Regular Pk of 20 Carefree Regular,
HI-000321,Active,Tampons Super Pk of 20 Carefree Large Super,
HI-000322,Active,Mattress Rope,
HI-000323,Active,Black Single Bed Fitted Sheet,
HI-000326,Active,Towel,
HI-000329,Active,Blind Fold Black,
HI-000199,Inactive,Props Box 3 R1 and R2 ,
HI-000330,Active,Props Box 4 R1 and R2 ,
HI-000331,Active,Satin Sheet – Blue,
HI-000332,Active,Satin Sheet – Pink,
HI-000333,Active,Satin Sheet – Black,
HI-000334,Active,Satin Sheet – White,
HI-000335,Active,Satin Sheet – Red,
HI-000336,Active,Satin Sheet – Gold,
HI-000337,Active,Calico – Sheet ,
HI-000338,Active,Props Box 1 R1 and R2 ,
HI-000339,Active,Props Box 2 R1 and R2 ,
HI-000340,Active,Dripless Candle,
HI-000341,Active,A4 Pln Paper Sheet,
HI-000342,Active,Baby in Blanket,
HI-000343,Active,Bible,
HI-000345,Active,Cardboard Coffee Cup,
HI-000348,Active,Rose Water Finger Pump Spray Bottle,
HI-000349,Active,Golden Ball Plastic,
HI-000350,Active,Long Rope Red and White,
HI-000351,Active,Participant Name Tag Drop Box,
HI-000352,Active,Candle Holder Plastic Bowl,
HI-000353,Active,Pool Noodle Sml,
HI-000354,Active,Present Gift Giving Process Box,
HI-000355,Active,Priest Cross,
HI-000356,Active,Yellow Rope,
HI-000357,Active,Roses Plastic Long Stemmed,
HI-000358,Active,Brass Bells Set in Round Wooden Box,
HI-000359,Active,Short Rope Red and White for Crossing The Line,
HI-000360,Active,Talking Stick Wrapped in Purple Suede,
HI-000361,Active,Tennis Balls,
HI-000362,Active,Trigger Spray Bottle Plain Water,
HI-000363,Active,Flip Chart Paper SHEET,
HI-000364,Active,Assorted Tools,
HI-000366,Active,Tape Measure,
HI-000367,Active,Ryobi Battery 18Volt,
HI-000368,Active,Ryobi Battery 18Volt Charger,
HI-000369,Active,Ryobi 18Volt Cordless Drill,
HI-000370,Active,Driver Bit Set,
HI-000371,Active,WD40,
HI-000372,Active,Black Curtain,
HI-000373,Active,240 Volt Extension Lead 2 Mtr Black,
HI-000374,Active,240 Volt Extension Lead 5 Mtr Black,
HI-000375,Active,240 Volt Extension Lead 7 Mtr Black,
HI-000261,Active,240 Volt Extension Lead 15 Mtr Black,
HI-000376,Active,240 Volt Extension Lead 20 Mtr Black,
HI-000390,Active,240 Volt Extension Lead 20 Mtr White,
HI-000377,Active,240 Volt Extension Lead 20 Mtr Red and Yellow,
HI-000209,Active,240 Volt Extension Lead 15 Mtr White,
HI-000301,Active,240 Volt Extension Lead 10 Mtr White,
HI-000378,Active,240 Volt Extension Lead 7 Mtr White,
HI-000379,Active,240 Volt Extension Lead 5 Mtr White,
HI-000380,Active,240 Volt Extension Lead 2 Mtr White,
HI-000328,Active,240 Volt Power Board 8 Plug GREY,
HI-000381,Active,240 Volt Power Board 8-Plug Black,
HI-000382,Active,240 Volt Power Board 6-Plug Black,
HI-000383,Active,240 Volt Power Board 4 Plug Black,
HI-000048,Active,240 Volt Power Board 6 Plug White,
HI-000049,Active,240 Volt Power Board 4 Plug White,
HI-000384,Active,Torch,
HI-000167,Active,Dolphin Torch,
HI-000385,Active,Dolphin Torch LED,
HI-000684,Active,White Sheet,
HI-000386,Active,Black Sheet,
HI-000387,Active,Poncho Rain Coats,
HI-000388,Active,Blanket,
HI-000389,Active,Dustpan & Brush,
HI-000391,Active,Vacuum Cleaner,
HI-000392,Active,Black Baggage Bag Prop,
HI-000393,Active,Blue Directors Chair,
HI-000394,Active,Ropes Box with plenty of assorted ropes,
HI-000397,Active,Ceremonial Sword,
HI-000398,Active,Yellow Punching Bag,
HI-000409,Active,Poly Pipe Wacker,
HI-000399,Active,Running Woman Running Man Mask,
HI-000400,Active,Rain Stick,
HI-000401,Active,Sword,
HI-000402,Active,Sword Stabbing Timber Slab,
HI-000403,Active,Hoola Hoop,
HI-000404,Active,Large Mirror,
