RowID,ItemID,BoxNumber,ItemName,StorageLocation,EventTags,Description,SpecificItemNotesForCrew,QtyReqd,StockOnHand,CountConfirmed,OrderQty,RestockComments
83,,AV 3,,MARQUEE,|NEEDED|,240Volt Extension Lead 2 Mtr (Black),,1,1,,,
84,,AV 3,,MARQUEE,|NEEDED|,6 Socket Power Board (Black),,1,1,,,
85,,AV 3,,MARQUEE,|NEEDED|,4 Socket Switched Power Board (Black),,1,1,,,
86,,AV 3,,MARQUEE,|NEEDED|,10 Mtr Piggyback Extension Cord (Black),,1,1,,,
87,,AV10,,MARQUEE,|NEEDED|,25 Mtr Male to Female XLR Mic/Speaker Cable,,1,1,,,
88,,AV10,,MARQUEE,|NEEDED|,3 Mtr RCA to RCA Cable,,1,1,,,
89,,AV10,,MARQUEE,|NEEDED|,5 Mtr RCA to RCA Cable,,1,1,,,
90,,AV10,,MARQUEE,|NEEDED|,2 Mtr 3.5 mm Jack to RCA,,2,2,,,
91,,AV10,,MARQUEE,|NEEDED|,1 Mtr 3.5 mm Jack to 2 x Male RCA Cable,,1,1,,,
92,,AV10,,MARQUEE,|NEEDED|,2.5 Mtr 3.5 mm Jack 2x 6.5mm TS Jack Cables,,1,1,,,
93,,AV 3,,MARQUEE,|NEEDED|,1 Mtr Male RCA to 6.5mm Jack Male TS Cable,,1,1,,,
94,,AV 3,,MARQUEE,|NEEDED|,3 Mtr HDMI Cable,,2,2,,,
95,,AV 3,,MARQUEE,|NEEDED|,1.5 Mtr HDMI Cable,,1,1,,,
96,,AV 3,,MARQUEE,|NEEDED|,2 Mtr Female XLR to 6.5mm Jack Male TS Cable,,2,2,,,
97,,AV 3,,MARQUEE,|NEEDED|,2 Mtr Male XLR to 6.5mm Male Jack Cable,,1,1,,,
98,,AV 3,,MARQUEE,|NEEDED|,2 Mtr 6.5 mm to 6.5mm Jack Jack Cable,,6,6,,,
99,,AV10,,MARQUEE,|NEEDED|,50cm 6.5mm Jack to Jack TS Patch Cable,,2,2,,,
100,,AV10,,MARQUEE,|NEEDED|,1.5 Mtr Male to Female XLR Cable,,3,3,,,
101,,AV10,,MARQUEE,|NEEDED|,5 Mtr Female XLR to 6.5mm Male Jack Cable,,1,1,,,
102,,AV10,,MARQUEE,|NEEDED|,1 Mtr Male to Female USB-A Extension Cable,,1,1,,,
103,,AV10,,MARQUEE,|NEEDED|,1.5 Mtr Male to Female USB-A Extension Cable,,1,1,,,
104,,AV10,,MARQUEE,|NEEDED|,3 Mtr Male to Female USB-A Extension Cable,,1,1,,,
105,,AV10,,MARQUEE,|NEEDED|,2mtr USB-A to USB-B Extension Cable,,1,1,,,
106,,AV10,,MARQUEE,|NEEDED|,Microsoft Cabled Mouse,,1,1,,,
107,,AV 15,,MARQUEE,|NEEDED|,240Volt Multiport White Power Ball Incl USB Charge Ports,,1,1,,,
108,,AV 15,,MARQUEE,|NEEDED|,Selfie Sick,,1,1,,,
109,,AV 3,,MARQUEE,|NEEDED|,Double Adaptor (White),,2,2,,,
110,,AV 10,,MARQUEE,|NEEDED|,1 Mtr A/V Male to Male RCA Yellow Red White Cable,,1,1,,,
111,,AV 15,,MARQUEE,|NEEDED|,Pivo Kit in Black Case with remote and charge Cable,,1,1,,,
112,,AV 15,,MARQUEE,|NEEDED|,Pivo Smart mount in box,,1,1,,,
113,,AV 15,,MARQUEE,|NEEDED|,Pivo Action Mount in box,,1,1,,,
114,,AV17,,MARQUEE,|NEEDED|,Sennheisser e901 Microphone,,1,1,,,
115,,AV 3,,MARQUEE,|NEEDED|,Modem with power cable,,1,1,,,
116,,AV 3,,MARQUEE,|NEEDED|,Cable Ties,,2,2,,,
117,,AV17,,MARQUEE,|NEEDED|,Grunt Strap Container Box,,1,1,,,
118,,AV 3,,MARQUEE,|NEEDED|,Paint Brush set,,1,1,,,
119,,AV 10,,MARQUEE,|NEEDED|,BACKUPS BOX,EXTRA AV GEAR,,,,,
120,,AV 10,,MARQUEE,|NEEDED|,HDMI 30 Mtr Cable Boosted,,2,2,,,
121,,AV10,,MARQUEE,|NEEDED|,Male XLR to TRS 6.5mm Male Jack Cable,,1,1,,,
122,,AV10,,MARQUEE,|NEEDED|,10 Mtr Jack to Jack Male to Male 6.5mm TS to 6.5mm TS Cable,,2,2,,,
123,,AV17,,MARQUEE,|NEEDED|,HDMI Switcher,,1,1,,,
124,,AV10,,MARQUEE,|NEEDED|,6.5 TS to 6.5 TS Unballanced Cables (Red & Black),,2,2,,,
125,,AV4,,CONTAINER,|NEEDED|,Black Heavy Duty Plastic Box,,1,1,,,
126,,AV4,,CONTAINER,|NEEDED|,NUC Computer,,1,1,,,
127,,AV4,,CONTAINER,|NEEDED|,NUC Labeled Power Block and Cable,,1,1,,,
128,,AV4,,CONTAINER,|NEEDED|,Wireless Mouse,,1,1,,,
129,,AV4,,CONTAINER,|NEEDED|,Wireless Keyboard,,1,1,,,
130,,AV4,,CONTAINER,|NEEDED|,Wireless Dongle Black,Stored in front USB Port in NUC,1,1,,,
131,,AV4,,CONTAINER,|NEEDED|,USB 'C' Hub,,1,1,,,
132,,AV4,,CONTAINER,|NEEDED|,32 Gig Stick Windows Bootable Drive,KEEP SAFE,1,1,,,
133,,AV4,,CONTAINER,|NEEDED|,32 Inch Gigabyte Curved Monitor,,1,1,,,
134,,AV 5,,CONTAINER,|NEEDED|,TV Stand - Two Parts of Stand,,1,1,,,
135,,AV4,,CONTAINER,|NEEDED|,240Volt to Right Angle 2 Pin Power Cable,,1,1,,,
136,,AV13,,MARQUEE,|NEEDED|,Flood lights and stands,For Group Photos on Sunday night - Req's 1 X 5 Mtr Extension Lead with each,2,2,,,
137,,AV20,,MARQUEE,|REAL2|,Surrender Spot Light Hung in Centre of Main Space,Switch is Behind Music Desk,1,1,,,
138,,Fac 1,,CONTAINER,INACTIVE,Black Single Bed Fitted Sheet,,2,2,,,
139,,Fac 1,,CONTAINER,INACTIVE,Large Towels in Good Condition,Source from Towels - MT10 in Marquee,3,3,,,
140,,BREEZEWAY,,BREEZEWAY,INACTIVE,20 Ltr Container Square Opaque, Pre-filled for Waterlord Ritual,2,2,,,
141,,BREEZEWAY,,BREEZEWAY,INACTIVE,BIC brand BBQ ligher,,1,1,,,
142,,BREEZEWAY,,BREEZEWAY,INACTIVE,Empty Fibreglass Pond- Waterlord Ritual,,1,1,,,
143,,BREEZEWAY,,BREEZEWAY,INACTIVE,Firewood,,1,1,,,
144,,BREEZEWAY,,BREEZEWAY,INACTIVE,Flare Extinguisher Tin Long Handle,,2,2,,,
145,,BREEZEWAY,,BREEZEWAY,INACTIVE,Flares Pre-Filled (12 flares per yellow box) - Spares if needed,,36,36,,,
146,,BREEZEWAY,,BREEZEWAY,INACTIVE,Galvanised Flare Covers (Mini-Buckets),,40,40,,,
147,,BREEZEWAY,,BREEZEWAY,INACTIVE,Kindling,,1,1,,,
148,,BREEZEWAY,,BREEZEWAY,INACTIVE,Lite Blue Soft Foam Mats Place Around Sweat Fire Bot/Heater,,8,8,,,
149,,BREEZEWAY,,BREEZEWAY,INACTIVE,Pkt 24 Samba Fire Lighters,,1,1,,,
150,,BREEZEWAY,,BREEZEWAY,INACTIVE,Real Education Event Signs,,2,2,,,
151,,BREEZEWAY,,BREEZEWAY,INACTIVE,Timber Staffs for INITIATION CIRCLE (Tied Together),,16,16,,,
152,,BREEZEWAY,,BREEZEWAY,INACTIVE,Timber Staffs for SWEAT FIRE CIRCLE (Tied Together),,17,17,,,
153,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Fire Tarp,,2,2,,,
154,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Wheel Barrow - Steel,,2,2,,,
155,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Flares Pre-Filled (12 flares per yellow box),,2,2,,,
156,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Galvanised Flare Covers (Mini-Buckets),,24,12,,,
157,,BREEZEWAY,,BREEZEWAY,|NEEDED|,20 LTR Jerry Can YELLOW, DIESEL ONLY - for Flare Refilling,1,1,,,
158,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Green Plastic Rakes,,3,3,,,
159,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Large Axe," 2 yellow, 1 orange",3,2,,,
160,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Block Splitter Yellow,,2,2,,,
161,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Small Square-Mouth Shovel Short Handle,,1,1,,,
162,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Plastic Watering Can **Use to refill Flares,,1,1,,,
163,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Plastic white bucket and black stive shovel,,1,1,,,
164,,BREEZEWAY,,BREEZEWAY,|NEEDED|,10 Pot Flare Carrying Crate,,1,1,,,
165,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Dark Grey Soft Foam Mats- Waterlord,,0,0,,,
166,,BREEZEWAY,,INSIDE SWEAT,|NEEDED|,Synthetic Grass Mats- Rolled,,2,2,,,
167,,BREEZEWAY,,BREEZEWAY,|NEEDED|,Black Rubber Mats and Pegs,,4,4,,,
168,,BREEZEWAY,,BREEZEWAY,|NEEDED|,10 Ltr Clay Bucket with Lid,Pre filled with Clay - Half Full - With Lids,4,4,,,New buckets Bunnings
169,,BREEZEWAY,,OUTSIDE SWEAT,|NEEDED|,Creek Flares in concrete buckets,,3,3,,,
170,,F1,,BREEZEWAY,|NEEDED|,Chux Roll,,1,1,,,
171,,F1,,BREEZEWAY,|NEEDED|,Fire Starters Packet (x24 cubes) Little Lucifer,,4,4,,,
172,,F1,,BREEZEWAY,|NEEDED|,BLACK Latex Free Rubber Gloves Container (Full),,2,2,,,
173,,F1,,L/H,|NEEDED|,Mortein Bug Bombs,,2,2,,,
174,,F1,,BREEZEWAY,|NEEDED|,Aeroguard Spray Cans,,1,1,,,
175,,F1,,BREEZEWAY,|NEEDED|,Spare Wick,,1,1,,,
176,,F1,,BREEZEWAY,|NEEDED|,Spare Copper Ring For Flares,,1,1,,,
177,,F1,,BREEZEWAY,|NEEDED|,Eucalyptus Water Soluable 50ml,,1,1,,,
178,,F1,,BREEZEWAY,|NEEDED|,Safety Glasses,,3,3,,,
179,,F1,,BREEZEWAY,|NEEDED|,Dolphin Torches Checked as working,,1,1,,,
180,,F1,,BREEZEWAY,|NEEDED|,Diesel Sauce Containers (Full) in yellow container,,3,3,,,
181,,F2,,BREEZEWAY,|NEEDED|,Sweat Bucket,,2,2,,,
182,,F2,,BREEZEWAY,|NEEDED|,Stainless Steele Ladle,,2,2,,,
183,,F2,,BREEZEWAY,|NEEDED|,Heat Protection Gloves,,1,1,,,
184,,F2,,BREEZEWAY,|NEEDED|,Pair black welding gloves (to load woood into Sweat stove),,1,1,,,
185,,F2,,BREEZEWAY,|NEEDED|,500ml Soluble Eucalyptus Oil (back up for Sweat water mix),,1,1,,,
186,,F2,,BREEZEWAY,|NEEDED|,Tea Light Candles Container (Full),,1,1,,,
187,,F2,,BREEZEWAY,|NEEDED|,Dolphin Torches Checked as working,,2,2,,,
188,,BREEZEWAY,,BREEZEWAY,|REAL2|,Extra Long Handle Wide Mouth Shovels,,2,2,,,
189,,BREEZEWAY,,BREEZEWAY,|REAL2|,Long Handle wide mouth shovels,,2,2,,,
190,,BREEZEWAY,,BREEZEWAY,|REAL2|,Metal Rakes,,2,2,,,
191,,BREEZEWAY,,BREEZEWAY,|REAL2|,20 Ltr Container- Round White, Bucket of Charcoal for Fire Walk - Lane Base,4,4,,,
